,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Articles,Full Description,Industry Groups,Number of Founders,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,G2 Stack - Total Products Active,Country,City,State,isInTop100,minEstimatedRevenueRange,maxEstimatedRevenueRange,minNumberEmployees,maxNumberEmployees,isCompanyTypeForProfit,isCompanyPrivate,hasWebsite,hasTwitter,hasFacebook,hasLinkedIn,hasContactEmail,hasPhoneNumber
103,Red Mapache,https://www.crunchbase.com/organization/red-mapache,"EdTech, Education, Gamification","Bogotá, Distrito Especial, Colombia",Mapache Studios is an Edutainment Media Company that develops games for mobile education.,"66,712",Latin America,Active,09/07/2012,day,0.0,In Red Mapache we develop education apps that help children improve their reading comprehension skills. Our intelligent algorithm recognizes when kids are making mistakes. This allow us to suggest exercises that are tailored to improve their weaknesses. Every time you buy the premium version of one of our apps we will donate one in your name.,"Education, Gaming, Software",1.0,Ricardo Jimenez,5,Seed,01/07/2014,90000000,COP,48078,Grant,89456900.0,COP,49917.0,Seed,89456900.0,COP,49917.0,442452,USD,442452,"Wayra, Innpulsa Colombia",1.0,2.0,0.0,"69,254",16.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,1000000.0,1000.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
104,Neoalgae,https://www.crunchbase.com/organization/neoalgae,"Biofuel, Biotechnology, Cosmetics, Pharmaceutical, Water Purification","Asturias, Cundinamarca, Colombia","Neoalgae is a biotechnology company dedicated to providing scientific advice in aquaculture, especially in microalgae.","67,124",Latin America,Active,01/01/2012,year,0.0,"Neoalgae is a biotechnology-based company dedicated to the production, scientific-technical advice on the cultivation of microalgae and the implementation of photobioreactors for food, energy (biofuels), pharmaceutical-cosmetic, capture and fixation of CO2, wastewater treatment, etc.","Biotechnology, Consumer Goods, Energy, Health Care, Natural Resources, Science and Engineering, Sustainability",2.0,"Fidel Delgado Ramallo, Ignacio Albert de la Rosa",1,,01/10/2016,1386466,EUR,1558352,Grant,0.0,,0.0,,0.0,,0.0,1386466,EUR,1558352,EASME - EU Executive Agency for SMEs,1.0,1.0,0.0,"69,687",34.0,0.0,Colombia,Asturias,Cundinamarca,0,0.0,1000000.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
105,Reciclados Industriales,https://www.crunchbase.com/organization/reciclados-industriales,"Industrial, Mining, Oil and Gas","Cota, Cundinamarca, Colombia",Expertos en el reaprovechamiento y reutilización de RCD,"67,840",Latin America,Active,01/01/2010,year,9.0,,"Energy, Manufacturing, Natural Resources",1.0,Alejandro Vallejo Arias,1,Early Stage Venture,31/08/2017,-2147483648,COP,2203300,Series A,6500000000.0,COP,2203300.0,Series A,6500000000.0,COP,2203300.0,6500000000,COP,2203300,FCP Emprendimiento e Innovación SP,1.0,1.0,0.0,"70,433",18.0,0.0,Colombia,Cota,Cundinamarca,0,1000000.0,10000000.0,1000.0,2000.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
106,Tusdatos.co,https://www.crunchbase.com/organization/tusdatos-co,"Cyber Security, SaaS, Security, Software","Bogotá, Distrito Especial, Colombia",Background checks and identity validation in one click,"68,412",Latin America,Active,05/12/2018,day,0.0,"Tusdatos.co offers automated background checks, kyc and identity validation in one click and in seconds. Gathering information in real time from all relevant and required information sources. To launch a check all you need is the person's ID or their name. Data is gathered when the check is initiated, we do not use stale or outdated data. Checks can be done via our dashboard or API.","Information Technology, Privacy and Security, Software",0.0,,1,Seed,21/01/2020,100000,USD,100000,Seed,100000.0,USD,100000.0,Seed,100000.0,USD,100000.0,100000,USD,100000,TheVentureCity Product-Led Growth Program,0.0,1.0,0.0,"71,023",26.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
107,Ressolve,https://www.crunchbase.com/organization/ressolve,"Artificial Intelligence, Information Technology, Machine Learning, Software, Speech Recognition, Text Analytics","Medellín, Antioquia, Colombia",Artificial intelligence focused in Speech/text analytics and NLP/NLU,"68,493",Latin America,Active,01/09/2019,day,1.0,"AI that processes, interprets and extracts valuable information from written and/or spoken conversations, in real time and in large volumes of audios or texts, with training in Spanish, English and Portuguese. Our higher purpose is to provide quality of life to people by freeing them from repetitive tasks through artificial intelligence","Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",3.0,"Daniel Pena, Harold Diaz, Sebastian Blandon",1,Seed,09/12/2020,200000,USD,200000,Seed,200000.0,USD,200000.0,Seed,200000.0,USD,200000.0,200000,USD,200000,,0.0,0.0,0.0,"71,108",22.0,0.0,Colombia,Medellín,Antioquia,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
108,NEU Energy,https://www.crunchbase.com/organization/neu-energy,"Artificial Intelligence, Energy","Medellín, Antioquia, Colombia",AI-Driven Distributed Energy Service Provider,"68,790",Latin America,Active,10/01/2019,day,0.0,NEU is reinventing the process of producing and consuming energy.  As a next generation AI-driven electricity retailer our goal is to digitalize and democratize clean energy to lower our costumer's energy bills.,"Artificial Intelligence, Data and Analytics, Energy, Science and Engineering, Software",2.0,"Juan Camilo López, Juan Esteban Hincapié Rivera",1,Seed,12/01/2020,100000,USD,100000,Seed,100000.0,USD,100000.0,Seed,100000.0,USD,100000.0,100000,USD,100000,,0.0,0.0,0.0,"71,421",48.0,0.0,Colombia,Medellín,Antioquia,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
109,TOMi,https://www.crunchbase.com/organization/tomi,EdTech,"Medellín, Antioquia, Colombia",Helps teachers to create interactive class flow even in offline classrooms in developing countries,"68,942",Latin America,Active,15/01/2019,day,0.0,,"Education, Software",2.0,"Alejandro Sepulveda, Juan Manuel Lopera",1,Seed,01/04/2019,500000,USD,500000,Seed,500000.0,USD,500000.0,Seed,500000.0,USD,500000.0,500000,USD,500000,Aulas AMiGAS,1.0,1.0,1.0,"71,578",8.0,0.0,Colombia,Medellín,Antioquia,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
110,Savy,https://www.crunchbase.com/organization/savy-2124,"Fitness, Marketplace, Wellness","Usaquén, Distrito Especial, Colombia",Savy is a marketplace to uberize the fitness & wellness industry by introducing classes and single entrance with dynamic pricing.,"69,157",Latin America,Active,21/03/2018,day,0.0,Savy is a marketplace aiming to uberize the fitness industry by introducing classes with dynamic pricing. Savy also removes the membership barrier for those who don’t want to be tied to a plan. Our algorithm defines the optimal price per class for both user and fitness center. Our objective is to dynamize and revolutionize the pricing of the industry and become the most convenient way to workout. ,"Commerce and Shopping, Health Care, Sports",3.0,"Christian Rochas, Felipe Moyano, Gaëtan Jacquemet",1,Seed,31/05/2019,300000,USD,300000,Pre-Seed,300000.0,USD,300000.0,Pre-Seed,300000.0,USD,300000.0,300000,USD,300000,,0.0,0.0,0.0,"71,804",45.0,0.0,Colombia,Usaquén,Distrito Especial,0,0.0,1000000.0,2000.0,5000.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
111,B2Chat,https://www.crunchbase.com/organization/b2chat,"Artificial Intelligence, Customer Service, Information Technology, Messaging, SaaS, Software","Medellín, Antioquia, Colombia",The most intuitive and powerful means for businesses to connect with their customers,"69,305",Latin America,Active,01/11/2017,day,0.0,"We are building the most intuitive and powerful means for businesses to connect with their customers using a combination of live agents and artificial intelligence-enabled interfaces. We achieve this through a multi-chat, multi-agent platform that allows businesses to consolidate messages from their customers from platforms including web chat, SMS, social media or their preferred IM. We also offer a series of prebuilt chatbots that integrate seamlessly into the client’s own IM channel to provide a self-service experience for applications such as answering frequently asked questions, creating support tickets or taking customer surveys.   By capturing the most direct point of contact between our clients and their customers, we are likewise building the infrastructure and capturing the data that can then be deployed for advanced features including customer discovery and satisfaction assessment, better understanding of the customer journey, fraud detection and user experience.  We will become the most complete and sophisticated means by which companies communicate with and come to understand their current and potential customers.","Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Other, Professional Services, Science and Engineering, Software",1.0,Pedro Jaramillo,1,Seed,01/11/2017,300000,USD,300000,Seed,300000.0,USD,300000.0,Seed,300000.0,USD,300000.0,300000,USD,300000,Taurus Capital,0.0,1.0,0.0,"71,958",32.0,0.0,Colombia,Medellín,Antioquia,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
112,TA Edison SAS,https://www.crunchbase.com/organization/ta-edison-sas,"Consumer Electronics, E-Commerce, Hardware","Bogotá, Distrito Especial, Colombia","Edison diseña, fabrica y vende productos electrónicos de consumo masivo. Nuestro producto estrella se llama Helmy.","70,004",Latin America,Active,20/09/2020,day,4.0,"Edison diseña, fabrica y vende los productos electrónicos de consumo masivo del futuro. Nuestro producto estrella se llama Helmy. Nosotros inventamos el futuro de la humanidad! Visítanos en www.helmy.com.co.","Commerce and Shopping, Consumer Electronics, Hardware",1.0,Mario Varon,1,Seed,20/09/2020,150000,USD,150000,Pre-Seed,150000.0,USD,150000.0,Pre-Seed,150000.0,USD,150000.0,150000,USD,150000,Mario Varon,0.0,1.0,0.0,"72,692",26.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
113,Chepe & Pepe,https://www.crunchbase.com/organization/chepe-pepe,"Consulting, E-Commerce, Information Technology","Medellín, Antioquia, Colombia",Professional Services Marketplace,"70,514",Latin America,Active,04/01/2017,day,0.0,,"Commerce and Shopping, Information Technology, Professional Services",0.0,,3,Seed,18/01/2019,330000,USD,330000,Angel,330000.0,USD,330000.0,Angel,1160000.0,USD,1160000.0,1160000,USD,1160000,,0.0,0.0,0.0,"73,227",11.0,0.0,Colombia,Medellín,Antioquia,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
114,MAT,https://www.crunchbase.com/organization/mat,"Apps, Ride Sharing, Transportation","Bogotá, Distrito Especial, Colombia",The world's first ride-sharing company to make every one of its drivers share-holders of the company.,"71,183",Latin America,Active,19/02/2020,day,0.0,"MAT is a driver focused app.  An alternative model to the conventional ride hailing industry, MAT allows drivers to become share-holders by implementing a Stock Purchasing Plan first in the industry, all this in order to provide a superior service experience to its user base.","Apps, Software, Transportation",4.0,"David Gomez, Johan Castellanos, Juan Loaiza, Miguel Trevino",1,Seed,01/03/2020,500000,USD,500000,Seed,500000.0,USD,500000.0,Seed,500000.0,USD,500000.0,500000,USD,500000,,0.0,0.0,0.0,"73,939",52.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
115,Mía,https://www.crunchbase.com/organization/mía,"Electric Vehicle, Last Mile Transportation, Transportation","Bogotá, Distrito Especial, Colombia",Mía Scooters is offering mobility as a subscription solution for electric scooters.,"72,024",Latin America,Active,15/07/2019,day,0.0,"Mía Scooters is offering mobility as a subscription solution for electric scooters. The company provides Adopting Mine, a subscription wherein subscribers can rent a scooter for long terms. Clients can choose between weekly, monthly, quarterly, and even semi-annual plans. Once they adopt the scooter, the company takes it to the client's home with its charger. Daniel Bernal and José Chávez established the company in Bogotá, Distrito Especial.",Transportation,2.0,"Daniel Bernal, José Chávez",1,Seed,23/11/2019,145000,USD,145000,Pre-Seed,145000.0,USD,145000.0,Pre-Seed,145000.0,USD,145000.0,145000,USD,145000,,0.0,0.0,0.0,"74,822",6.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
116,Cycle,https://www.crunchbase.com/organization/cycle-7f3f,"Artificial Intelligence, Communities, Internet, Internet of Things, Renewable Energy, Solar","Bogotá, Distrito Especial, Colombia",Cycle is a platform that turns renewable energy systems profitable for the householders in off-grid communities.,"73,323",Latin America,Active,01/01/2018,year,10.0,"Cycle is a platform that allows the homes of remote communities with access to renewable energy sources, to make its generation profitable. Our smart system connects all the homes of a community; it recognizes which home has an energy surplus, which home needs additional energy of what it’s producing, and it sends it through the network.  The home that shared its energy instantly receives a proportional profit of the energy sent. Our system is supported by three, 4th generation technologies; IoT, Blockchain and Artificial Intelligence, which helps to provide a robust system for the families of underdeveloped communities to be confident to make secure transactions and generate additional income.","Artificial Intelligence, Community and Lifestyle, Data and Analytics, Energy, Internet Services, Natural Resources, Science and Engineering, Software, Sustainability",3.0,"David Castaño, Kevin Felipe Gutierrez Martinez, Nicolas Cuadrado",1,,13/02/2018,150000,USD,150000,Grant,0.0,,0.0,,0.0,,0.0,150000,USD,150000,,0.0,0.0,2.0,"76,187",34.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
117,QUEO,https://www.crunchbase.com/organization/queo,"Information Technology, Software","Bogotá, Distrito Especial, Colombia",Platform that enables booking  and access to unused parking spots,"73,571",Latin America,Active,16/07/2016,day,0.0,QUEO is a platform that enables booking and access to private and public parking spots. We envision to be Latam's biggest parking platform and making sure that the process finding a parking is as fast and hustle free as possible.,"Information Technology, Software",1.0,Mateo Jimenez,1,Seed,03/12/2018,270000,USD,270000,Seed,270000.0,USD,270000.0,Seed,270000.0,USD,270000.0,270000,USD,270000,,0.0,0.0,0.0,"76,450",37.0,18.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
118,ESCALA EDUCACION,https://www.crunchbase.com/organization/escala-educacion,"Education, Finance, Financial Services","Medellín, Antioquia, Colombia",ESCALA offers long-term savings plans for higher education to employees and close the access gap in Colombia,"74,990",Latin America,Closed,15/08/2015,day,0.0,"ESCALA Educación is a social enterprise that promotes access to higher education and financial inclusion by offering enhanced saving plans with educational benefits. ESCALA partners with companies and becomes their main educational benefits provider, through which employees save through their paychecks for education either for themselves or their children. These savings are coupled with company matching funds, tuition discounts, career counseling and other education benefits that make higher education accessible for all.","Education, Financial Services",3.0,"Andrea Echavarria Mazuera, Jonathan Duarte, Juliana Uribe Villegas",2,Seed,11/10/2017,700000,USD,700000,Seed,700000.0,USD,700000.0,Seed,700000.0,USD,700000.0,800000,USD,800000,"Accion Venture Lab, Catalyst Fund, EWA Capital, Invictum Capital",1.0,4.0,0.0,"77,935",6.0,0.0,Colombia,Medellín,Antioquia,0,0.0,1000000.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
119,Work.r,https://www.crunchbase.com/organization/work-r,"Artificial Intelligence, Machine Learning","Bogotá, Distrito Especial, Colombia",Work.r is a machine learning company that builds easy to adopt ML solutions that propel revenue growth and improve customer experiences,"76,340",Latin America,Active,01/01/2018,year,0.0,Work.r is a machine learning company that builds easy to adopt ML solutions - Cognitive Agents - that propel revenue growth and improve customer experiences,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",4.0,"Daniel Laverde, Fabio Rodriguez, Jose Diaz, Laureano Díaz",2,Seed,01/06/2020,250000,USD,250000,Seed,250000.0,USD,250000.0,Seed,600000.0,USD,600000.0,600000,USD,600000,,0.0,0.0,0.0,"79,360",17.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
120,trii,https://www.crunchbase.com/organization/trii,FinTech,"Bogotá, Distrito Especial, Colombia",trii is the first stock trading app in Colombia,"76,394",Latin America,Active,07/03/2019,day,0.0,trii partnered with prominent financial institutions to develop Colombia's first trading app.,Financial Services,3.0,"Carlos Guayara, Esteban Peñaloza, Luis Patt",2,Seed,10/12/2019,200000,USD,200000,Pre-Seed,200000.0,USD,200000.0,Pre-Seed,250000.0,USD,250000.0,250000,USD,250000,,0.0,0.0,0.0,"79,414",12.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
121,AllFreed,https://www.crunchbase.com/organization/allfreed,"Apps, E-Commerce, Retail","Medellín, Antioquia, Colombia",Todos tus privilegios en un solo sitio,"77,461",Latin America,Active,01/01/2012,year,0.0,"AllFreed es una aplicación móvil que agrupa todos los puntos, millas en beneficios y descuentos de tus marcas preferidas en un solo lugar.","Apps, Commerce and Shopping, Software",2.0,"Jorge Torres, Juan Alejandro",1,Seed,01/06/2013,91000000,COP,47784,Seed,91000000.0,COP,47784.0,Seed,91000000.0,COP,47784.0,91000000,COP,47784,Wayra,1.0,1.0,0.0,"80,536",7.0,0.0,Colombia,Medellín,Antioquia,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
122,Kiosco,https://www.crunchbase.com/organization/kiosco,,"Mosquera, Cundinamarca, Colombia",Plataforma líder de Cundinamarca para domicilios en Supermercados y Restaurantes a un solo clic!,"77,728",Latin America,Active,01/01/2019,year,0.0,,,1.0,Jean Paul Osorio,2,Seed,04/05/2020,400000,USD,400000,Seed,400000.0,USD,400000.0,Seed,600000.0,USD,600000.0,600000,USD,600000,,0.0,0.0,0.0,"80,820",11.0,0.0,Colombia,Mosquera,Cundinamarca,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
123,Tourbitz,https://www.crunchbase.com/organization/tourbitz,"SaaS, Software, Tourism, Travel","Bogotá, Distrito Especial, Colombia",Tourbitz is a booking and distribution system of tours and activities.,"79,232",Latin America,Active,07/03/2018,day,0.0,"Tourbitz is a Software as a Service (SaaS) for tour operators that helps them by providing them with tools to be more efficient and scale their business easily. Tourbitz provides them with a platform where they can upload their inventory and supplier's list, a booking system, and an API that helps them to connect directly to their website or to the leading travel agencies worldwide.","Software, Travel and Tourism",1.0,Eduardo Maldonado,2,Seed,22/05/2019,60000,USD,60000,Pre-Seed,60000.0,USD,60000.0,Pre-Seed,60000.0,USD,60000.0,140000,USD,140000,"500 Startups, Kiwi.com Ventures s.r.o., Camilo Jimenez",0.0,3.0,0.0,"82,410",23.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
124,Ecociclus,https://www.crunchbase.com/organization/ecociclus,"Auctions, Recycling, Waste Management","Bogotá, Distrito Especial, Colombia",Ecociclus is headquartered in Colombia.,"79,311",Latin America,Active,01/01/2013,year,0.0,"Ecociclus is the virtual waste market that allows companies, as generators of recyclable waste, potentially recyclable and non-recyclable waste or Buying raw materials; identify within a virtual auction market, the most competitive alternative marketing, sale, management or disposal of waste and waste materials that could be incorporated into production processes.  Ecociclus waste is the marketplace for enterprises to find competitive and responsible buyers / users, sellers and disposal services for waste: every possible solution for net, net net Potentially and not waste.","Commerce and Shopping, Sustainability",3.0,"Fabio Ramon, Juan Delgado, Ramon Simon",2,Seed,01/06/2014,40000,USD,40000,Seed,40000.0,USD,40000.0,Seed,87950.0,USD,87950.0,87950,USD,87950,"Wayra, Start-Up Chile",1.0,2.0,0.0,"82,496",20.0,11.0,Colombia,Bogotá,Distrito Especial,0,0.0,1000000.0,1000.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,NIPU,https://www.crunchbase.com/organization/nipu,,"Medellín, Antioquia, Colombia",NIPU is a virtual coach that guides in understanding and choosing what to study in the tech world.,"79,315",Latin America,Active,01/01/2016,year,1.0,"Nipu is a virtual coach that guides in understanding and choosing what to study in the tech world. Nipu can help in starting a professional career in tech, improve skills in order to be hired quickly, and expand tech knowledge.  Nipu was founded in 2016 and is headquartered in Medellin, Colombia.",,2.0,"Maribel Corrales, Samuel Urquijo",1,M&A,22/01/2019,300000,USD,300000,Seed,300000.0,USD,300000.0,Seed,300000.0,USD,300000.0,300000,USD,300000,COLABORATIVOx,1.0,1.0,0.0,"82,501",22.0,0.0,Colombia,Medellín,Antioquia,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
126,Deleyes,https://www.crunchbase.com/organization/deleyes,"Consulting, Information Technology, Legal, Legal Tech, Software","Bogotá, Distrito Especial, Colombia",Deleyes provides automated legal services.,"79,524",Latin America,Active,02/08/2017,day,0.0,The first and only technology-based legal partner of individuals and companies in Colombia,"Information Technology, Professional Services, Software",1.0,Cristhian Fresen,1,Seed,02/10/2017,1000000,USD,1000000,Seed,1000000.0,USD,1000000.0,Seed,1000000.0,USD,1000000.0,1000000,USD,1000000,"InQlab, Other Corporate Investors",0.0,2.0,0.0,"82,724",50.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,2000.0,5000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
127,Bazurto,https://www.crunchbase.com/organization/bazurto,"E-Commerce, Food and Beverage, Logistics, Software","Cartagena, Bolivar, Colombia","Marketplace, E-commerce, Mobile App, Payments, legal documents.","79,604",Latin America,Active,13/11/2019,day,0.0,Bazurto is a B2B marketplace for farmers and  buyers.,"Commerce and Shopping, Food and Beverage, Software, Transportation",0.0,,2,Seed,01/08/2020,15000,USD,15000,Pre-Seed,15000.0,USD,15000.0,Pre-Seed,55000.0,USD,55000.0,55000,USD,55000,Apps.co,0.0,1.0,0.0,"82,807",32.0,0.0,Colombia,Cartagena,Bolivar,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
128,Pina Media,https://www.crunchbase.com/organization/pina-media-inc,"Advertising, Email Marketing, Internet, SEO, Social Media Marketing","Medellín, Antioquia, Colombia",Pina Media provides its clients with effective and measurable digital advertising solutions.,"80,061",Latin America,Active,01/01/2015,year,0.0,"Pina Media provides its clients with effective and measurable digital advertising solutions. It is a next-generation performance-based marketing company. They leverage their exclusive offers and seasoned expertise. Pina Media expands advertisers' targeted global reach, maximizing return on investment for advertisers and publishers. Pina Media continually paves the way for effective online performance-based marketing, developing lucrative marketing strategies for media buys and search engine management for some of the most recognizable brands worldwide. Adapting strategies to meet each client's individual needs. Pina Media was founded in 2015 and is headquartered in Medellín, Colombia.","Advertising, Internet Services, Sales and Marketing",0.0,,1,Seed,04/02/2015,5000000,USD,5000000,Seed,5000000.0,USD,5000000.0,Seed,5000000.0,USD,5000000.0,5000000,USD,5000000,,0.0,0.0,0.0,"83,295",11.0,0.0,Colombia,Medellín,Antioquia,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
129,2Transfair,https://www.crunchbase.com/organization/2transfair,"Consumer, Financial Services, FinTech, Payments","Bogotá, Distrito Especial, Colombia",2Transfair is a global transactional network allowing people to send money anywhere in the world.,"82,081",Latin America,Active,01/01/2017,year,0.0,2Transfair is a global transactional network allowing people to send money anywhere in the world. It is made up of business professionals with +10 years of experience in electronic transaction processing and +35 in the traditional financial sector.,"Financial Services, Other, Payments",1.0,Alvaro Barrios Páez,1,Seed,04/05/2018,40000,USD,40000,Pre-Seed,40000.0,USD,40000.0,Pre-Seed,40000.0,USD,40000.0,40000,USD,40000,Start-Up Chile,1.0,1.0,0.0,"85,448",63.0,22.0,Colombia,Bogotá,Distrito Especial,0,0.0,1000000.0,1000.0,2000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
130,Espacios Digitales IoT,https://www.crunchbase.com/organization/espacios-digitales-iot,"Banking, Internet of Things, Logistics, Retail, Retail Technology, Software","Bogotá, Distrito Especial, Colombia","Enterprise IoT Platform. We quickly connect things to the internet, by using our IoT technology, to optimize corporate processes.","82,336",Latin America,Active,01/10/2017,day,5.0,"We quickly connect things to the internet, by using our technology which we customize on each use case, to optimize corporate processes. We connect things for business.","Commerce and Shopping, Financial Services, Hardware, Internet Services, Lending and Investments, Software, Transportation",3.0,"Felipe Rueda, Guillermo Andres Hernandez, Nicolas Monroy",1,Seed,11/08/2019,150000,USD,150000,Seed,150000.0,USD,150000.0,Seed,150000.0,USD,150000.0,150000,USD,150000,"Wayra, DMZ",1.0,2.0,1.0,"85,714",43.0,12.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
131,ComparaMejor.com,https://www.crunchbase.com/organization/comparamejor-com,"Financial Services, Insurance, Internet, Price Comparison","Bogotá, Distrito Especial, Colombia",ComparaMejor.com is an independent comparison website specialized in financial products and insurance policies.,"82,891",Latin America,Active,01/01/2011,year,0.0,"ComparaMejor.com is an independent comparison website specialized in financial products and insurance policies. As an online insurance broker, the platform enables its users to get a quote in real-time and buy their policy in minutes. ComparaMejor.com has commercial agreements with 14 insurance companies and a call center to provide advice over the phone. It is based in Bogotá, Distrito Especial.","Commerce and Shopping, Financial Services, Internet Services",2.0,"Erick Brimen, Fernando Sucre Schnell",2,Seed,01/12/2012,635000,USD,635000,Angel,635000.0,USD,635000.0,Angel,815000.0,USD,815000.0,815000,USD,815000,,0.0,0.0,0.0,"86,298",38.0,23.0,Colombia,Bogotá,Distrito Especial,0,1000000.0,10000000.0,51.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
132,ASH Capital,https://www.crunchbase.com/organization/ash-capital,"Finance, Financial Services, FinTech, Hedge Funds","Barranquilla, Atlantico, Colombia","We build quantitative trading systems, with extraordinary returns in different financial markets.","83,273",Latin America,Active,01/01/2016,year,0.0,"We build quantitative trading systems, with extraordinary returns in different financial markets. We use science to determine profitable movements in the market and build systems that generate returns over time. We are a company with social conscience, human beings have a greater task than building capital and we are sure that machines can do better, while we take care of people","Financial Services, Lending and Investments",0.0,,1,Seed,20/01/2016,180000,USD,180000,Pre-Seed,180000.0,USD,180000.0,Pre-Seed,180000.0,USD,180000.0,180000,USD,180000,Cesar Agudelo,0.0,1.0,0.0,"86,702",12.0,0.0,Colombia,Barranquilla,Atlantico,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
133,StartOp,https://www.crunchbase.com/organization/startop,"CRM, Enterprise Resource Planning (ERP), Information Technology, SaaS, Software","Bogotá, Distrito Especial, Colombia",Cloud CRM+ERP SaaS for SME's in Latin America.,"84,488",Latin America,Active,14/03/2018,day,1.0,We help Small and Medium Businesses grow and thrive in Latin America by providing the platform they need to digitalize and integrate their company's information and teams. Our Cloud Software as a Service merges CRM and ERP technologies to make sure information flows seamlessly across the organization.,"Information Technology, Sales and Marketing, Software",3.0,"David Aponte, Santiago Garzón Muñoz, Santiago Rojas Montoya",1,Seed,31/07/2018,85000,USD,85000,Pre-Seed,85000.0,USD,85000.0,Pre-Seed,85000.0,USD,85000.0,85000,USD,85000,Carlos Fernández de la pradilla,1.0,1.0,0.0,"87,994",30.0,0.0,Colombia,Bogotá,Distrito Especial,0,0.0,0.0,1000.0,2000.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
